"Dataset" "MW_PRE1" "MW_POST1" "MeanDiff_PRE1_POST1" "SD_PRE1" "SD_POST1" "Cohens_d_PRE1_POST1" "Cor_PRE1_POST1" "Cor_pairwise_PRE1_PRE2" "Cor_pairwise_PRE2_PRE3" "Cor_pairwise_PRE3_PRE4" "Cor_pairwise_PRE4_PRE5" "Cor_pairwise_POST1_POST2" "Cor_pairwise_POST2_POST3" "Cor_pairwise_POST3_POST4" "Cor_pairwise_POST4_POST5"
"1" "cor_07_dataset_k1" 10.37927 4.60031 5.77896 3.45239387343544 4.2315525477382 1.49649069290907 0.38949775792486 0.654807577489504 0.655856273849959 0.651824571727416 0.653566434036473 0.615764607744967 0.616690669437025 0.617009659453653 0.61770718360792
"2" "cor_07_dataset_k2" 10.39202 5.20521 5.18681 3.45105482677314 4.23270103048634 1.34313973802791 0.389565968944453 0.657613502550108 0.652989795308213 0.653374933711289 0.653303971038799 0.634210123789991 0.637166975236272 0.636507759710158 0.643267991868446
"3" "cor_07_dataset_k3" 10.41547 5.42583 4.98964 3.44645810359485 4.24564942811941 1.2903941398359 0.387869157177425 0.658975657043844 0.655396823999588 0.65431476352617 0.653515509894975 0.643269596177592 0.648324308474903 0.644930166093653 0.64495977027333
"4" "cor_07_dataset_k4" 10.38301 5.54266 4.84035 3.44207667242004 4.23071141932313 1.25508042863909 0.394901955427705 0.654965019201854 0.65313107494368 0.653983305788329 0.654867982269265 0.64517257851358 0.645890329267815 0.652319338387304 0.655362549330228
"5" "cor_07_dataset_k5" 10.40014 5.5872 4.81294 3.45730928762168 4.2230432748132 1.247129249023 0.390019294665461 0.653070944766741 0.655887648026677 0.655949958611526 0.656665595142245 0.645081673453215 0.650780779907003 0.651970461928792 0.655198195363948
"6" "cor_07_dataset_k6" 10.3865 5.67689 4.70961 3.44105741869583 4.25074706568224 1.21784977407334 0.391794897383287 0.655220913631972 0.65409362093757 0.651006402566336 0.653296167520629 0.652881903886335 0.649782035150117 0.653714221652819 0.651343685927159
"7" "cor_07_dataset_k7" 10.39604 5.72328 4.67276 3.46691685990956 4.23476391004903 1.20745293188789 0.398011171343247 0.65660704677232 0.652316290285721 0.654292431482222 0.653185955749575 0.646226386757396 0.649866116330742 0.650553142240012 0.650966144683989
"8" "cor_07_dataset_k8" 10.37002 5.82794 4.54208 3.44542942308199 4.23545685225897 1.17648993492537 0.390405347703574 0.657505113799823 0.657258680807113 0.652019422607184 0.652904719648071 0.654563670898169 0.654027309027537 0.656154214810177 0.65180349807072
"9" "cor_07_dataset_k9" 10.39101 5.91223 4.47878 3.43929345466401 4.22519880599121 1.16261290311033 0.390523906007731 0.659727526004181 0.654560085269692 0.654461265757445 0.659067291029075 0.656350476610547 0.657443122259287 0.658579540884714 0.658468081909159
"10" "cor_07_dataset_k10" 10.38166 6.01932 4.36234 3.45075567398609 4.2230019032734 1.1312363937759 0.387664045231606 0.659142593884414 0.652315861398093 0.652048838804444 0.654592979404557 0.657458490307579 0.657176449130022 0.655282417108654 0.657321303642443
"11" "cor_07_dataset_k11" 10.39238 6.11831 4.27407 3.44386941360519 4.24257147706758 1.10615064616281 0.393969570547033 0.654712939962033 0.655478322121006 0.655577277053975 0.652741478114663 0.660774110259291 0.662255768442666 0.656543485916688 0.661154279841678
"12" "cor_07_dataset_k12" 10.38718 6.30104 4.08614 3.4403328336805 4.22902515539192 1.05998535431513 0.392884092653121 0.653849674766726 0.656445833850628 0.656191954067948 0.65338275024179 0.664096010685396 0.66446527166031 0.66137090937726 0.66385782865702
"13" "cor_07_dataset_k13" 10.38733 6.34238 4.04495 3.45140617620499 4.25430099151074 1.04420528049998 0.391878213792831 0.655537995025634 0.652984598913893 0.654112413158677 0.655468930183749 0.664234015815761 0.665193459389552 0.665032821342512 0.663893196188076
"14" "cor_07_dataset_k14" 10.39447 6.66254 3.73193 3.45895982386767 4.22813428353396 0.966135405689299 0.389706368846183 0.654100438898798 0.654572362051856 0.658531634940922 0.652194391835854 0.670427896212933 0.667783293204712 0.665983001225422 0.666595300824863
"15" "cor_07_dataset_k15" 10.40293 6.71269 3.69024 3.44565467516137 4.24652131671712 0.954320438744076 0.390199901063541 0.654215396229385 0.654039898305755 0.654783448641162 0.656118745043536 0.668603465912643 0.661737067137653 0.668071068388262 0.667673073550451
"16" "cor_07_dataset_k16" 10.3842 6.83225 3.55195 3.45068825489848 4.23828851877685 0.919097883007902 0.389400455821354 0.658043275383565 0.653142704612346 0.655855138990737 0.654457858867517 0.669066813127512 0.672136267306836 0.669017447241739 0.670047151260332
"17" "cor_07_dataset_k17" 10.39469 6.95291 3.44178 3.47113098159705 4.22276815011297 0.890438687026556 0.38785629734426 0.65542082112773 0.656787679494299 0.656312276655843 0.652139235588373 0.66840892504719 0.670788387151404 0.669943251528543 0.670947747061267
"18" "cor_07_dataset_k18" 10.38335 7.0713 3.31205 3.45258917063989 4.22826856911324 0.858052290045135 0.390781535572893 0.655455012270685 0.65526465253387 0.653392484906615 0.655876860402154 0.669260828783385 0.669512465253037 0.671901565096474 0.670832558531369
"19" "cor_07_dataset_k19" 10.40347 7.17778 3.22569 3.44815905333681 4.24342012270095 0.834311188184309 0.389932546971719 0.650699496285269 0.655682457937526 0.657782785249639 0.657993776076808 0.667099217206357 0.67252580073807 0.671584972295768 0.668808059284497
"20" "cor_07_dataset_k20" 10.40457 7.2493 3.15527 3.45212866026498 4.24159750819125 0.815934617257225 0.390295517169977 0.656039337618336 0.653458993494339 0.654587288188245 0.654716214005475 0.672310657315176 0.672184498422894 0.673717651750685 0.671744019491024
"21" "cor_07_dataset_k21" 10.39095 7.31827 3.07268 3.44651808095777 4.25309241553143 0.79379553963775 0.387045966457436 0.652774762281275 0.656006095026936 0.655378192957793 0.653641012277999 0.671947639026906 0.672897726842375 0.673756688440112 0.67755886610645
"22" "cor_07_dataset_k22" 10.37495 7.34235 3.0326 3.45198227969331 4.21595353628835 0.787085240636356 0.389207588415749 0.655798503084187 0.653366891288041 0.655000730118157 0.655383178023196 0.670464203726505 0.677557276630573 0.675179032769965 0.675896339354779
"23" "cor_07_dataset_k23" 10.41036 7.43612 2.97424 3.4622860287165 4.25788687515373 0.766452017680746 0.391040072405406 0.655667435773341 0.654402373352654 0.653638278033667 0.652699178816966 0.673024464392617 0.67458438274305 0.67660794005195 0.675653271553112
"24" "cor_07_dataset_k24" 10.39664 7.49352 2.90312 3.4421846546564 4.22738651149468 0.753112287946473 0.388431304084174 0.65546804735156 0.65554243387776 0.651591304190667 0.653267012600672 0.673825784996599 0.674216822426078 0.674793670699247 0.673527200195934
"25" "cor_07_dataset_k25" 10.38077 7.52265 2.85812 3.44562373603522 4.22857018217244 0.741018646243419 0.387927461293718 0.651946080045276 0.652717541277583 0.658206600129116 0.655452011135233 0.673700140090574 0.674171670445945 0.676234855167196 0.674694554479069
"26" "cor_07_dataset_k26" 10.39859 7.86299 2.5356 3.45436467939524 4.23720164715794 0.655930939466825 0.387802127410302 0.654913784234474 0.651799816156418 0.654770911842192 0.652300741627329 0.677868557559292 0.675423145659818 0.674967147037123 0.676244952490789
"27" "cor_07_dataset_k27" 10.39172 7.89943 2.49229 3.46325213964473 4.23998295393443 0.64381163371218 0.388614942161336 0.655967084088499 0.653615521775138 0.656715542430107 0.656918793556879 0.677514214104896 0.678604786345098 0.679988521006495 0.677782668074593
"28" "cor_07_dataset_k28" 10.39567 7.96655 2.42912 3.44763021692309 4.2379819138839 0.628805322176793 0.390206304748088 0.656653722687604 0.653401268923124 0.653109501830518 0.654015890023745 0.674937613424646 0.677955313029908 0.674755537253581 0.674754246060073
"29" "cor_07_dataset_k29" 10.4068 8.06524 2.34156 3.45233152317814 4.23671373116386 0.605919281747543 0.389595708123654 0.65403276185041 0.654938826985636 0.655289234419708 0.656375021482964 0.677483578345084 0.677882084693274 0.678079308759148 0.676939215955365
"30" "cor_07_dataset_k30" 10.37387 8.06258 2.31129 3.470272561488 4.22925083309398 0.597476412577077 0.389570452056 0.655808375392736 0.655426029887238 0.655102357008409 0.655629656955704 0.680111089338141 0.6803322960474 0.676473748368482 0.678836053409059
"31" "cor_07_dataset_k31" 10.40867 8.12876 2.27991 3.45304764903131 4.24146445966575 0.589520156947635 0.385741109713714 0.653446926239625 0.654989494317369 0.654291425885391 0.654064123148897 0.680107153355448 0.680034671728327 0.68068545347319 0.678752548332363
"32" "cor_07_dataset_k32" 10.39738 8.18393 2.21345 3.47113376626373 4.23254284080965 0.571861291188211 0.388140803155864 0.652875465689225 0.652030133870916 0.654957615186449 0.655714668454323 0.677338171932433 0.678252321551366 0.677719188659724 0.678326116607999
"33" "cor_07_dataset_k33" 10.35843 8.32067 2.03776 3.45516675673884 4.2329327809805 0.527415595030669 0.386471790373538 0.656031497980858 0.655128278392583 0.653362123411437 0.655288757201352 0.678367572976704 0.680923584586385 0.677534170734364 0.678813704361343
"34" "cor_07_dataset_k34" 10.38107 8.43031 1.95076 3.46805362257553 4.23590636498581 0.503933586300532 0.390980408420089 0.656156929896682 0.655960972770959 0.653753905651432 0.654501168092249 0.677706531046239 0.678915382384416 0.677077401297784 0.678880775547834
"35" "cor_07_dataset_k35" 10.39464 8.48882 1.90582 3.46247298294031 4.24145433866134 0.492255766885045 0.386118021373608 0.655899601933027 0.655999795209596 0.655302258333205 0.653600490584457 0.680155389633264 0.677874119165221 0.678383635347428 0.678136191924172
"36" "cor_07_dataset_k36" 10.38624 8.58391 1.80233 3.43566539412193 4.23557298516802 0.467358918107655 0.385929240827894 0.654238477643891 0.655050776317018 0.651416452272423 0.654961268404323 0.679257808029407 0.678893225463258 0.681648071949877 0.680997872907695
"37" "cor_07_dataset_k37" 10.38526 8.68006 1.7052 3.45990092944067 4.22651121261618 0.441501630773926 0.384871574037375 0.658085941326029 0.656669472481131 0.655974613057704 0.653216071726533 0.680164947016823 0.680357235609785 0.679014585239779 0.681678716184417
"38" "cor_07_dataset_k38" 10.38556 10.33846 0.0471000000000004 3.45519650240456 4.23095779208897 0.0121938530946925 0.378612627792938 0.65279865199802 0.654604868708813 0.654170241771587 0.657413737036747 0.687191288676253 0.687571919422087 0.684396930320674 0.68388230706795
"39" "cor_07_dataset_k39" 10.39997 10.37479 0.0251799999999989 3.45635551745399 4.23425811037984 0.00651499865167745 0.38319593273599 0.653680525954505 0.656198398146638 0.655489987553462 0.656264802883408 0.686903122780501 0.684265081466807 0.684745918521429 0.684366185163668
"40" "cor_07_dataset_k40" 10.39626 8.78455 1.61171 3.45785158440552 4.23109564051715 0.417123769753585 0.389208903504746 0.65439435882797 0.653932819455142 0.652924429691529 0.654871766490417 0.682041052633653 0.678663711005734 0.681709619625788 0.67986407806496
"41" "cor_07_dataset_k41" 10.36746 10.24073 0.12673 3.45955095833669 4.2167163615862 0.032859190645742 0.383233362227813 0.65487163035571 0.658191116323502 0.656590108884906 0.653811601947596 0.684281016252799 0.683238801193458 0.683984817128525 0.683857025450064
"42" "cor_07_dataset_k42" 10.37333 10.26956 0.103769999999999 3.45468581200094 4.21482799816915 0.0269284466169417 0.378773143249798 0.654891795954804 0.651981155109733 0.656710644415352 0.652646915822305 0.683281791698418 0.682329385956834 0.683903260324772 0.682786003213368
"43" "cor_07_dataset_k43" 10.38021 8.92473 1.45548 3.43457542048259 4.23339859258923 0.377582324362148 0.386382592056549 0.653031891964389 0.655090269308038 0.65624211195344 0.655128063494614 0.680933458725061 0.681984080015365 0.681032735831649 0.680741367379687
"44" "cor_07_dataset_k44" 10.3758 8.90625 1.46955 3.45195502866639 4.22952004675451 0.380676454723959 0.391893437341352 0.656942402953112 0.653054798910594 0.656316951887126 0.654543183932088 0.680977597035045 0.681262219458468 0.682877971656866 0.680213281342025
"45" "cor_07_dataset_k45" 10.36099 10.09995 0.261039999999999 3.45542987482834 4.23187181810731 0.0675708054227265 0.382790768374834 0.65365733075209 0.654969888729533 0.652871184869002 0.659160731682157 0.685831689710468 0.683302159892233 0.68186587746823 0.684867870470754
"46" "cor_07_dataset_k46" 10.40089 10.15024 0.25065 3.45304162194209 4.24000562722235 0.0648244444257478 0.383229193439481 0.656029592279876 0.655159380848308 0.6524876319277 0.6545506709806 0.68740494062395 0.683256169034572 0.685302736326912 0.682875173547471
"47" "cor_07_dataset_k47" 10.40626 9.08831 1.31795 3.44047833612011 4.23821554060311 0.341436894884923 0.383399060278438 0.655410920072486 0.656157277104718 0.65480023047884 0.65693737605667 0.685405886614839 0.682223135562548 0.682358664113736 0.682009619458238
"48" "cor_07_dataset_k48" 10.38217 9.09557 1.2866 3.44950070034068 4.22698178951016 0.333499485570537 0.386235604638545 0.652067788514842 0.655969548515058 0.655370329021915 0.654248408645389 0.682327547919332 0.68114297786462 0.682227850091008 0.684269298650457
"49" "cor_07_dataset_k49" 10.3865 9.12678 1.25972 3.4535890060588 4.23906670488508 0.325818305996354 0.386027205990018 0.653429760244142 0.653478127731112 0.6528390102189 0.655917239781027 0.683964881600807 0.682925015686362 0.681387574322584 0.682992068717385
"50" "cor_07_dataset_k50" 10.38144 9.90579 0.47565 3.4558447527384 4.2360918215543 0.123043560430812 0.38618659253596 0.654073082982018 0.653815669585018 0.65445571495206 0.651293079536047 0.683417508321383 0.679700881369578 0.682742821188206 0.683496386837267
"51" "cor_07_dataset_k51" 10.38848 9.95057 0.437909999999999 3.45810105032064 4.24148164875975 0.113164806292181 0.386499404958574 0.655952227551507 0.653224787323945 0.65731090169016 0.653473470686508 0.682115636974944 0.685765114087861 0.684245119386337 0.682456325012298
